Val set other domain


     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 2.110547751188278, Current params: {'LEARNING_RATE': 0.007769387154904222, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05598184101935172, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5707449999596654, 'DAMPENING': 0.07542918982708026, 'GAMMA': 0.44816166870814994, 'STEP_SIZE': 30}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.9015999287366867, Current params: {'LEARNING_RATE': 0.009197130561389252, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.07630484704340337, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.8991001938872286, 'DAMPENING': 0.1302429132938394, 'GAMMA': 0.692289460116375, 'STEP_SIZE': 43}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.8258152678608894, Current params: {'LEARNING_RATE': 0.0044429269213106005, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06970924578648895, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.708996226056642, 'DAMPENING': 0.09370865912209415, 'GAMMA': 0.6061591395428702, 'STEP_SIZE': 24}
